EvM,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,
Ejecucion_1,20.6858,35.839,1.1559,34.0266,36.7989,17.3049,-18956.655,9.8377,7.529852039885394E11,41.9668,1.7813087666259535E7,10.2597,180.0005,8.2755,-8.2491,16.2503,2199.2853,8.3713,1601.6982,7.3166,6.3971,422.3488,1976.4123,389.0001,
Ejecucion_2,20.6893,7.9378,1.3095,9.0081,29.9181,8.3283,-16465.8522,8.39,4.9963309981535425E9,39.3421,1.6156184617933284E7,8.5732,2.9547,6.1974,-7.4067,11.7501,4199.2108,8.1979,1151.7176,5.7252,3.7393,354.1104,244.8682,346.1649,
Ejecucion_3,20.7801,7.577,1.1916,7.6921,18.6268,8.8117,-10745.1237,7.0567,803380.2755731035,37.3446,3289561.6376735624,6.6695,48.2668,6.1147,-7.3156,11.9284,3149.9172,6.0851,148.5199,5.7815,0.447,350.2686,43.612,346.5057,
Ejecucion_4,20.8453,7.3023,0.6797,8.0518,27.2281,7.3651,-11747.9511,7.0507,1.491703493424935E11,35.9558,6357857.9603385385,5.938,66.0556,6.0697,-6.8131,11.8739,10390.7576,5.6216,177.2917,5.494,1.4331,352.5006,579.0772,348.8304,
Ejecucion_5,20.5563,7.1291,0.7813,7.6774,21.9878,7.0981,-17943.2508,7.1665,5.042769841173295E17,36.0034,1.2015876714302795E7,5.8953,26.8324,6.0283,-7.3427,11.6056,3134.8956,5.6299,374.4421,5.6064,3.5536,350.5101,1253.7903,348.7431,

EvBLX,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,
Ejecucion_1,20.9707,17.8916,0.6259,10.5549,68.2511,9.5153,-21547.323,10.3319,741.642,40.8146,4009057.5062488955,8.6027,222.5509,8.3491,-3.326,14.5611,-189.6669,8.1267,56.1466,8.1153,6.3971,348.1529,1976.4123,347.8465,
Ejecucion_2,20.6152,9.5708,0.8371,9.8697,57.2891,8.9821,-23534.5583,8.8938,17931.8671,39.4541,6201742.0863003535,7.8039,560.9383,7.3528,-3.7143,13.8393,-111.9926,7.5734,15.6227,7.5123,3.7393,351.6664,244.8682,349.2659,
Ejecucion_3,20.819,9.3312,0.4726,9.6641,56.1532,8.647,-22330.9436,8.8358,5860.0355,39.9379,1.0601069171924286E7,7.859,143.277,7.4015,-4.2332,13.6808,3275.5149,8.8333,9.6083,7.4883,0.447,349.7907,43.612,346.1844,
Ejecucion_4,20.7424,9.0611,0.5397,9.5645,44.0295,8.6214,-25310.6011,8.8378,8056.505,39.1759,1.8802061767318808E7,8.3689,266.4167,8.019,-4.336,13.9761,1122.1325,8.2843,49.2209,7.4836,1.4331,356.2622,579.0772,348.0515,
Ejecucion_5,20.9481,9.2102,0.8195,9.6149,46.2557,8.6316,-21132.452,8.8416,6200.5455,39.6484,1095042.6338799908,7.9134,247.654,7.8356,-3.7571,13.8474,1234.1099,7.4548,28.2412,7.5389,3.5536,349.7088,1253.7903,346.861,

ED,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,Solucion,Tiempo,
Ejecucion_1,20.0204,14.8802,0.0382,9.1041,0.0,6.971,-1.629401186269E8,7.2438,65.6229,38.7756,0.0,6.4462,6.4749,4.593,-9.2487,10.8232,1652.3078,4.333,0.7272,4.3189,6.3971,349.3479,1976.4123,346.3236,
Ejecucion_2,20.0072,8.207,0.0148,6.5321,1.9899,5.6079,-8.454334841843E8,5.7721,0.0016,38.18,0.0,4.849,0.0133,4.3126,-9.0028,10.4501,129.1431,4.624,0.8215,4.2907,3.7393,350.6539,244.8682,350.2635,
Ejecucion_3,20.0154,7.9788,0.032,6.415,0.995,5.4719,-1.4333785073049E9,6.7105,11.0993,36.6224,0.0,5.0232,6.9866,4.5597,-9.582,10.3335,1387.8741,4.6126,0.9298,4.5495,0.447,351.9187,43.612,345.7738,
Ejecucion_4,20.0154,7.5631,0.0395,6.537,0.0,5.6622,-2.25428436131415E10,5.605,1.3495,36.1092,0.0,4.3268,9.4371,3.8861,-9.389,9.9475,-181.0892,3.8842,2.1436,4.0978,1.4331,351.1352,579.0772,351.5662,
Ejecucion_5,20.0082,6.7198,0.0099,6.0777,1.9899,5.0575,-1.75867455508773E10,5.2404,11.0983,36.247,0.0,4.3219,5.7527,3.9187,-9.725,9.8523,-196.4707,4.0414,0.6667,3.9374,3.5536,351.4321,1253.7903,348.9678,

